Utbildningsområde,Utan momskompensation,Med momskompensation
Data/IT,69900,74100
"Ekonomi, administration och försäljning",62900,66600
Friskvård och kroppsvård,74800,79200
"Hotell, restaurang och turism",64900,68700
Hälso- och sjukvård samt socialt arbete,67000,71000
Journalistik och information,66600,70600
Juridik,60500,64100
"Kultur, media och design",84400,89400
"Lantbruk, djurvård, trädgård, skog och fiske",110200,116700
Pedagogik och undervisning,71300,75500
Samhällsbyggnad och byggteknik,70400,74600
Säkerhetstjänster,63000,66800
Teknik och tillverkning,85900,91000
Transporttjänster,80400,85200
