Indicator,Year,Value
Antal antagna som påbörjat studier,2007,14652.0
därav andel kvinnor i procent,2007,55.0
därav andel män i procent,2007,45.0
Antal studerande,2007,33684.0
därav andel kvinnor i procent,2007,55.0
därav andel män i procent,2007,45.0
Antal examinerade,2007,7830.0
därav andel kvinnor i procent,2007,58.0
därav andel män i procent,2007,42.0
Examensgrad,2007,62.8
"Examensgrad, kvinnor",2007,67.9
"Examensgrad, män",2007,57.0
Antal antagna som påbörjat studier,2008,15298.0
därav andel kvinnor i procent,2008,56.0
därav andel män i procent,2008,44.0
Antal studerande,2008,36657.0
därav andel kvinnor i procent,2008,55.0
därav andel män i procent,2008,45.0
Antal examinerade,2008,8968.0
därav andel kvinnor i procent,2008,61.0
därav andel män i procent,2008,39.0
Examensgrad,2008,64.7
"Examensgrad, kvinnor",2008,69.6
"Examensgrad, män",2008,58.5
Antal antagna som påbörjat studier,2009,16572.0
därav andel kvinnor i procent,2009,52.0
därav andel män i procent,2009,48.0
Antal studerande,2009,39417.0
därav andel kvinnor i procent,2009,54.0
därav andel män i procent,2009,46.0
Antal examinerade,2009,9907.0
därav andel kvinnor i procent,2009,58.0
därav andel män i procent,2009,42.0
Examensgrad,2009,67.0
"Examensgrad, kvinnor",2009,71.9
"Examensgrad, män",2009,61.2
Antal antagna som påbörjat studier,2010,16792.0
därav andel kvinnor i procent,2010,51.0
därav andel män i procent,2010,49.0
Antal studerande,2010,41597.0
därav andel kvinnor i procent,2010,52.0
därav andel män i procent,2010,48.0
Antal examinerade,2010,10510.0
därav andel kvinnor i procent,2010,58.0
därav andel män i procent,2010,42.0
Examensgrad,2010,66.9
"Examensgrad, kvinnor",2010,71.2
"Examensgrad, män",2010,61.8
Antal antagna som påbörjat studier,2011,16855.0
därav andel kvinnor i procent,2011,51.0
därav andel män i procent,2011,49.0
Antal studerande,2011,42484.0
därav andel kvinnor i procent,2011,51.0
därav andel män i procent,2011,49.0
Antal examinerade,2011,12081.0
därav andel kvinnor i procent,2011,54.0
därav andel män i procent,2011,46.0
Examensgrad,2011,69.0
"Examensgrad, kvinnor",2011,73.3
"Examensgrad, män",2011,64.4
Antal antagna som påbörjat studier,2012,15801.0
därav andel kvinnor i procent,2012,52.0
